Brand,Paddle Name,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Style,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
11SIX24,All Court Hurache-X ,$149.99,PBEFFECT,https://a8qh.short.gy/HXAC,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,6,4.125,8.18,121,85%,6.33,49%,245,Very High,2027,55.7,44%,36,42%,43%,54,Firepower Balanced
11SIX24,All Court Pegasus,$129.99,PBEFFECT,https://a8qh.short.gy/PAC,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,5.5,4.125,8.2,113,35%,7.26,94%,237,Very High,2032,55.2,31%,35.5,24%,27%,43,Firepower Control+
11SIX24,All Court Vapor,$129.99,PBEFFECT,https://a8qh.short.gy/VAC,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1.5,All-Court,16,5.75,4.125,8.16,117,63%,6.80,80%,241,Very High,2059,55.3,34%,35.4,20%,27%,44,Firepower Control+
11SIX24,Alpha Pro Power Hurache-X,$199.99,PBEFFECT,https://a8qh.short.gy/APPE,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,6,4.125,8.1,118,70%,6.29,45%,238,,,,,,,,,
11SIX24,Alpha Pro Power Pegasus,$199.99,PBEFFECT,https://a8qh.short.gy/APPP,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.125,8,107,7%,7.12,91%,229,,,,,,,,,
11SIX24,Alpha Pro Power Vapor,$199.99,PBEFFECT,https://a8qh.short.gy/APPH,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.75,4.125,8,112,29%,6.76,77%,236,,,,,,,,,
11SIX24,Jelly Bean Hurache-X ,$99.99,PBEFFECT,https://a8qh.short.gy/HJB16,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,6,4.125,8.14,122,88%,6.36,51%,242,,,,,,,,,
11SIX24,Jelly Bean Vapor,$99.99,PBEFFECT,https://a8qh.short.gy/JBV,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 1.5,Control,16,5.75,4.125,8,115,49%,6.67,71%,240,,,,,,,,,
11SIX24,Power Hurache-X ,$169.99,PBEFFECT,https://a8qh.short.gy/HXP,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,6,4.125,8.15,117,63%,6.40,53%,240,Very High,2033,56.3,69%,36,42%,56%,61,Firepower Balanced
11SIX24,Power Pegasus,$169.99,PBEFFECT,https://a8qh.short.gy/PP,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.5,4.125,8.33,111,23%,7.60,99%,233,Very High,2085,55.8,50%,36.2,52%,51%,56,Firepower Balanced
11SIX24,Power Vapor,$169.99,PBEFFECT,https://a8qh.short.gy/VP,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.75,4.125,8.3,116,57%,7.10,90%,237,Very High,2065,56,58%,36.1,47%,53%,58,Firepower Balanced
Adidas,Metalbone EVA 16mm (red no weights),$249,PBEFFECT,https://a8qh.short.gy/MBE16,2025,Unapproved,Elongated,Carbon,Paint Grit,Gen 4,Power,16,5.5,4.25,8.3,124,94%,5.63,8%,247,Very High,2085,58.2,100%,37.6,99%,99%,98,Firepower Elite
Adidas,Metalbone PP 14.5mm (no weights),$229,PBEFFECT,https://a8qh.short.gy/MB14,2025,USAP/UPA-A,Elongated,Carbon,Paint Grit,Gen 2,All-Court,14.5,5.5,4.25,8,111,23%,5.10,1%,236,Very High,2011,54.1,14%,35.1,16%,15%,26,Firepower Soft
Adidas,Metalbone PP 16mm (no weights),$249,PBEFFECT,https://a8qh.short.gy/MB16,2025,USAP,Elongated,Carbon,Paint Grit,Gen 2,Control,16,5.5,4.25,8.1,116,57%,5.26,2%,241,Very High,2086,54.2,16%,35.4,20%,18%,30,Firepower Soft
Adidas,Metalbone Team EVA 16mm (blue),$209,PBEFFECT,https://a8qh.short.gy/MBT,2025,Unapproved,Elongated,Carbon,Paint Grit,Gen 4,Power,16,5.5,4.25,7.9,113,35%,5.03,1%,241,High,1978,57.8,99%,37.3,97%,98%,91,Firepower Elite
Adidas,PRO-EDT 14,$189,N/A,https://a8qh.short.gy/edt14,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.5,4.25,8,122,88%,6.48,58%,242,Very High,2022,56.5,78%,36.4,64%,71%,67,Firepower High
Adidas,PRO-EDT 16,$189,N/A,https://a8qh.short.gy/edt16,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.5,7.95,126,98%,6.3,46%,246,Very High,2078,57,94%,35.8,35%,65%,69,Firepower High
Adidas,PRO-EDT 16 C,$189,N/A,https://a8qh.short.gy/edtc,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.5,4.5,8.05,119,78%,7.26,94%,241,Very High,2089,56.4,75%,36,42%,58%,63,Firepower Balanced
Aireo,Cyclone,$189,N/A,https://a8qh.short.gy/cyc,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.67,114,43%,6.41,55%,243,Very High,2054,57,94%,37,90%,92%,78,Firepower High
Babolat,Baller +,$219.99,PBEFFECT,https://a8qh.short.gy/BALLR,2025,USAP,Hybrid,Carbon,Paint Grit,Gen 2,All-Court,16,5.5,4.125,8.33,113,35%,6.08,29%,234,High,1932,56,58%,35.8,35%,47%,56,Firepower Balanced
Babolat,Strkr+,$219.99,PBEFFECT,https://a8qh.short.gy/STRKR,2025,USAP,Extra-elongated,Carbon,Paint Grit,Gen 2/Edgeless,Power,13,5.5,4,8.05,120,82%,5.43,4%,240,Low,1815,55.7,44%,36,42%,43%,54,Firepower Balanced
Babolat,WZRD,$219.99,PBEFFECT,https://a8qh.short.gy/WRZD,2025,USAP,Widebody,Carbon,Paint Grit,Gen 2,Control,20,5,4.125,8.57,109,14%,6.40,53%,226,High,1952,55.8,50%,35.6,28%,39%,52,Firepower Balanced
Body Helix,Flik F1 TerraCore XC Elongated,$190,PBEFFECT,https://a8qh.short.gy/f1E,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.25,4.25,7.86,114,43%,6.07,29%,240,Very High,2088,57.4,97%,38,100%,99%,91,Firepower Elite
Body Helix,X2 Lite,$160,PBEFFECT,https://a8qh.short.gy/X2Lite,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6,4.25,8.12,123,92%,6.32,48%,245,Low,1842,52.8,2%,33.7,1%,2%,0,Firepower Soft
Body Helix,X2 Pro,$180,PBEFFECT,https://a8qh.short.gy/X2Pro,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,19,6,4.25,8.88,134,100%,6.74,76%,246,High,1981,54.9,23%,34.8,8%,16%,34,Firepower Soft
Body Helix,X3 Lite,$160,PBEFFECT,https://a8qh.short.gy/X3Lite,2023,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,6,4.25,8.25,125,97%,6.03,27%,245,Medium,1920,52.8,2%,34.8,8%,5%,7,Firepower Soft
Body Helix,X3 Pro,$180,PBEFFECT,https://a8qh.short.gy/X3Pro,2023,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Power,18,6,4.25,8.73,132,99%,6.65,69%,246,High,1949,54.7,21%,34.2,3%,12%,27,Firepower Soft
Body Helix,X4 Gold Kevlar,$140,PBEFFECT,https://a8qh.short.gy/X4Gold,2024,USAP,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,4.25,8.1,116,57%,6.63,68%,239,High,1972,56,58%,36.5,69%,64%,61,Firepower Balanced
Bread & Butter,Fat Boy,$189.99,PBEFFECT,https://a8qh.short.gy/fatboy,2024,USAP,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.3,4.25,8.17,112,29%,7.29,95%,236,High,1935,54.9,23%,36.6,74%,48%,48,Firepower Control+
Bread & Butter,Filth Elongated,$165,PBEFFECT,https://a8qh.short.gy/FEN,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.125,8.18,123,92%,6.24,41%,243,Medium,1905,55.8,50%,35.7,32%,41%,53,Firepower Balanced
Bread & Butter,Filth Hybrid,$165,PBEFFECT,https://a8qh.short.gy/FHN,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.5,4.125,8.07,113,35%,6.77,78%,238,Medium,1908,55.4,35%,35.9,37%,36%,49,Firepower Control+
Bread & Butter,Filth Standard,$165,PBEFFECT,https://a8qh.short.gy/FSN,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.3,4.125,8.26,111,23%,7.47,98%,234,Medium,1919,55.6,41%,35.8,35%,38%,51,Firepower Balanced
Bread & Butter,Invader,$189.99,PBEFFECT,https://a8qh.short.gy/INV,2024,USAP,Hybrid,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.3,4.25,8.18,118,70%,6.85,82%,239,High,1985,55.8,50%,36.2,52%,51%,56,Firepower Balanced
Bread & Butter,Loco Elongated,$199.99,PBEFFECT,https://a8qh.short.gy/LE16,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.9,120,82%,6.18,37%,245,Very High,2010,56.9,92%,36.8,83%,88%,75,Firepower High
Bread & Butter,Loco Hybrid,$199.99,PBEFFECT,https://a8qh.short.gy/HL16,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.5,4.25,7.98,113,35%,6.67,71%,238,Very High,2032,56.7,86%,37,90%,88%,74,Firepower High
Bread & Butter,Loco Standard,$199.99,PBEFFECT,https://a8qh.short.gy/LS16,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,Power,16,5.3,4.25,8.06,110,18%,7.33,96%,235,Very High,2004,56.4,75%,36.6,74%,74%,67,Firepower High
Bread & Butter,Shogun,$189.99,PBEFFECT,https://a8qh.short.gy/Shogun,2024,USAP,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.25,8.18,122,88%,6.20,38%,244,Medium,1928,54.4,18%,35.4,20%,19%,32,Firepower Soft
Bread & Butter,Wild Thing,$189.99,PBEFFECT,https://a8qh.short.gy/WT,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.5,4.3,7.7,113,35%,5.91,21%,239,Medium,1907,55.8,50%,35.6,28%,39%,52,Firepower Balanced
Chorus,Shapeshifter EX,$174.99,PBEFFECT,https://a8qh.short.gy/SEX,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.6,4.25,7.8,115,49%,6.18,37%,242,Very High,2104,56,58%,35.9,37%,48%,57,Firepower Balanced
Chorus,Shapeshifter HX,$174.99,PBEFFECT,https://a8qh.short.gy/SHX,2024,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.6,4.25,7.8,114,43%,6.46,57%,240,Very High,2071,55.8,50%,35.6,28%,39%,52,Firepower Balanced
Chorus,Shapeshifter SX,$174.99,PBEFFECT,https://a8qh.short.gy/SSX,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.6,4.25,7.7,107,7%,6.83,82%,235,Very High,2063,54.5,19%,35.1,16%,17%,31,Firepower Soft
Chorus,Supercourt EX,$119,PBEFFECT,https://a8qh.short.gy/SCEX,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.25,7.8,116,57%,6.45,56%,243,Very High,2020,56.2,67%,36,42%,54%,60,Firepower Balanced
Chorus,Supercourt HX,$119,PBEFFECT,https://a8qh.short.gy/SCHX,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.25,7.8,115,49%,6.8,80%,242,High,1969,56,58%,35.8,35%,47%,56,Firepower Balanced
Chorus,Supercourt SX,$119,PBEFFECT,https://a8qh.short.gy/SCSX,2025,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.6,4.25,7.7,107,7%,7.16,92%,237,High,1986,56,58%,35.7,32%,45%,55,Firepower Balanced
