Paddle Name,Company,"My Rank (S, A, B, C, D)",Price,Discount,Discount Code,Shape,Paddle Type,Spin Rating,Power Rating,Control Rating,Face Material,Core Thickness (mm),Handle Length (in),Grip Thickness,Weight (oz),Link to Paddle,Quiz Winner,Link to Long Review
Volair Mach 1 (14 mm),Volair,A,$159.99,10% Off,THESLICE,Hybrid,All Arounder,Very High,High,Medium,Raw Carbon Fiber,14,5.50,4.3,7.80,https://bit.ly/3RyxlmW,No,
Volair Mach 1 (16 mm),Volair,A,$159.99,10% Off,THESLICE,Hybrid,Control,Very High,Medium,High,Raw Carbon Fiber,16,5.50,4.45,8.00,https://bit.ly/48kfkik,No,
Volair Mach 1 Forza (14 mm),Volair,S,$179.99,10% Off,THESLICE,Hybrid,Power,Very High,Very High,High,Raw Carbon Fiber,14,5.50,4.125,8.00,https://bit.ly/44RYVyM,Yes,https://theslicepickleball.com/volair-mach-1-forza-paddle-review/
Volair Mach 1 Forza (16 mm),Volair,S,$179.99,10% Off,THESLICE,Hybrid,All Arounder,Very High,Very High,Very High,Raw Carbon Fiber,16,5.50,4.125,8.20,https://bit.ly/3E6cM9z,Yes,https://theslicepickleball.com/volair-mach-1-forza-paddle-review/
Six Zero Black Diamond (16 mm),Six Zero,A,$179.99,10% Off,THESLICE,Hybrid,Power,Very High,Very High,Low,Proprietary Japanese Raw Composite Material,16,5.50,4.25,8.10,https://shorturl.at/kAKQU,No,
Six Zero Double Black Diamond (14 mm),Six Zero,S,$179.99,10% Off,THESLICE,Hybrid,All Arounder,Very High,Very High,High,Raw Carbon Fiber,14,5.50,4.25,8.00,https://shorturl.at/ghku2,No,
Six Zero Double Black Diamond (16 mm),Six Zero,S,$179.99,10% Off,THESLICE,Hybrid,All Arounder,Very High,Very High,High,Raw Carbon Fiber,16,5.50,4.25,8.10,https://shorturl.at/ghku2,No,
Six Zero Sapphire,Six Zero,C,$99.99,10% Off,THESLICE,Elongated,Power,High,High,High,Carbon Fiber,13,5.50,4.25,7.90,https://shorturl.at/astIO,No,
Ronbus R1 Nova,Ronbus,A,$180.00,$20 Off,RCSLICE,Hybrid,Control,Very High,Medium,Very High,Raw Carbon Fiber,16,5.50,4.125,7.80,https://shorturl.at/cINO9,No,https://theslicepickleball.com/ronbus-r1-nova-pickleball-paddle-review/
Ronbus R1 Pulsar,Ronbus,S,$170.00,$20 Off,RCSLICE,Hybrid,All Arounder,Very High,Very High,Medium,Raw Carbon Fiber,16,5.50,4.125,8.10,https://shorturl.at/cINO9,No,
Ronbus R1.16,Ronbus,A,$120.00,$20 Off,RCSLICE,Hybrid,Control,Very High,Medium,High,Raw Carbon Fiber,16,5.50,4.25,8.00,https://shorturl.at/cINO9,No,
Ronbus R2.16,Ronbus,B,$120.00,$20 Off,RCSLICE,Wide Body,Control,High,Medium,Very High,Raw Carbon Fiber,16,4.90,4.25,7.90,https://shorturl.at/cINO9,No,
Ronbus R3.16,Ronbus,A,$120.00,$20 Off,RCSLICE,Elongated,Control,Very High,Medium,High,Raw Carbon Fiber,16,5.50,4.25,8.00,https://shorturl.at/cINO9,No,
Ronbus R3 Nova,Ronbus,A,$180.00,$20 Off,RCSLICE,Elongated,Control,Very High,Medium,Very High,Raw Carbon Fiber,16,5.50,4.125,7.90,https://shorturl.at/cINO9,No,
